Registration_ID,Attendee_Name,Contact_Email,Location_Country,Signup_Date,Fee_Paid,Dietary_Preferences
REG-1041,jane_doe,,United States, ,150 USD,N/A
REG-1042,Emma Watson,bob@marley.org ,CA,yesterday,0,N/A
REG-1043,ERROR,alice smith@company.com,CA,2026.03.15,-50,"no nuts, please"
REG-1044,Emma Watson,user@domain..com,DE,2025-12-31,150.00,"[""Keto""]"
REG-1044,Null,test@gmail.com,lagos,2026-13-45,€140.50,[]
REG-1046,jane_doe,test@gmail.com,UK,15/03/2026,FREE,"[Vegetarian,Nut-Free]"
REG-1047,bOb mArLeY,jane.doe@,United States,2026/03/15,$150.00,[]
REG-1048,Michael ,,London,2026.03.15,-50,"[""Keto""]"
REG-1049,  ,JOHN@DOE.COM,united states, ,$150.00,[]
NaN,Alice Smith,alice smith@company.com,CA,2026-13-45,0,"['Gluten-Free', 'Dairy-Free']"
REG-1051, John Doe ,invalid_email.com,lagos, ,150.00,"[Vegetarian,Nut-Free]"
REG-1052,bOb mArLeY,JOHN@DOE.COM,United States,2026.03.15,£120,"[""Keto""]"
REG-1053,jane_doe,user@domain..com,USA,2025-12-31,FREE,"no nuts, please"
REG-1054,  ,,USA,2026-13-45,150 USD,[Halal]
REG-1055,bOb mArLeY,user@domain..com,United States, ,£120,"[""Keto""]"
REG-1056,jane_doe,bob@marley.org ,canada ,2026/03/15,0,[Vegan]
REG-1057,Dr. Sarah-Jane O'Connor,invalid_email.com,Germany,"Mar 15, 2026",-50,"[""Keto""]"
REG-1058,Dr. Sarah-Jane O'Connor,bob@marley.org ,United States,2026-03-15,150 USD,"['Gluten-Free', 'Dairy-Free']"
REG-1059,Emma Watson,jane.doe@,u.k.,"Mar 15, 2026",N/A,[Halal]
REG-1060,bOb mArLeY,user@domain..com,lagos,2026.03.15,"150,00 USD","['Gluten-Free', 'Dairy-Free']"
REG-1061,Dr. Sarah-Jane O'Connor,jane.doe@,canada ,15/03/2026,150 USD,[Halal]
REG-1062,jane_doe,test@gmail.com,NGA,2026-03-15,€140.50,[Vegan]
REG-1063,Emma Watson,bob@marley.org ,U.S.A.,yesterday,0,"no nuts, please"
REG-1064,jane_doe,,Germany,2026/03/15,$ 150,"['Gluten-Free', 'Dairy-Free']"
REG-1065,Emma Watson,user@domain..com,U.S.A.,yesterday,"150,00 USD","['Gluten-Free', 'Dairy-Free']"
REG-1066,bOb mArLeY,alice smith@company.com,CA,2026-13-45,$150.00,N/A
REG-1067,  ,invalid_email.com,u.k.,2026-03-15,FREE,[Halal]
REG-1068,Michael ,JOHN@DOE.COM,USA,yesterday,$150.00,None
REG-1069,ERROR,,London,yesterday,150 USD,[Halal]
REG-1070,  ,,germany, ,$150.00,N/A
REG-1071,Null,jane.doe@,Canada,"Mar 15, 2026",€140.50,[]
REG-1072,jane_doe,bob@marley.org ,United Kingdom, ,0,[Halal]
REG-1073,Null,user@domain..com,Germany,2026-03-15,N/A,"no nuts, please"
REG-1074,  ,user@domain..com,United States,2026-03-15,-50,N/A
REG-1075,Emma Watson,test@gmail.com,canada ,2026.03.15,FREE,[]
REG-1076,ERROR,test@gmail.com,Nigeria, ,€140.50,"[Vegetarian,Nut-Free]"
REG-1077,ERROR,invalid_email.com,United Kingdom,03-15-2026,€140.50,N/A
REG-1078, John Doe ,jane.doe@,us,"Mar 15, 2026",$150.00,"[Vegetarian,Nut-Free]"
REG-1079,ERROR,,Nigeria,2026-03-15,$150.00,"['Gluten-Free', 'Dairy-Free']"
REG-1080,Michael ,user@domain..com,USA,2026.03.15,150 USD,N/A
REG-1081,ERROR,alice smith@company.com,u.k., ,-50,[Vegan]
REG-1082,  ,jane.doe@,lagos,"Mar 15, 2026",£120,"[Vegetarian,Nut-Free]"
REG-1083, John Doe ,invalid_email.com,Canada, ,$150.00,"no nuts, please"
REG-1084,  ,invalid_email.com,lagos,yesterday,0,[Vegan]
REG-1085,  ,jane.doe@,DE,2026.03.15,$ 150,"[""Keto""]"
REG-1086,Alice Smith,invalid_email.com,,"Mar 15, 2026",FREE,"[""Keto""]"
REG-1086, John Doe ,jane.doe@,NGA,2025-12-31,$150.00,[]
REG-1088,  ,JOHN@DOE.COM,U.S.A.,2026-13-45,0,"['Gluten-Free', 'Dairy-Free']"
REG-1089,Alice Smith,jane.doe@,U.S.A.,2026-13-45,0,N/A
REG-1090,Alice Smith,bob@marley.org ,,"Mar 15, 2026",FREE,None
REG-1091, John Doe ,jane.doe@,CA, ,£120,"no nuts, please"
REG-1092,Null,invalid_email.com,Germany,2026.03.15,0,"[Vegetarian,Nut-Free]"
REG-1093,Emma Watson,user@domain..com,UK,2026-13-45,$ 150,[Vegan]
REG-1094,Michael ,bob@marley.org ,NGA,2026.03.15,0,"[""Keto""]"
REG-1095,Emma Watson,invalid_email.com,germany,2026-13-45,0,"no nuts, please"
REG-1096,ERROR,test@gmail.com,united states,yesterday,0,None
REG-1097,Michael ,test@gmail.com,USA, ,N/A,N/A
REG-1098,ERROR,user@domain..com,u.k.,yesterday,N/A,[]
REG-999,  ,user@domain..com,DE,2026-13-45,£120,None
REG-1100,jane_doe,bob@marley.org ,DE,2025-12-31,$150.00,"no nuts, please"
REG-1101, John Doe ,JOHN@DOE.COM,united states,2025-12-31,0,None
REG-1102,Michael ,user@domain..com,United Kingdom,yesterday,-50,"no nuts, please"
REG-1103,Michael ,test@gmail.com,us,2025-12-31,$150.00,"no nuts, please"
REG-1104,  ,jane.doe@,UK,2026-13-45,£120,[Halal]
REG-1105,Null,invalid_email.com,Nigeria,"Mar 15, 2026",150.00,"[Vegetarian,Nut-Free]"
REG-1106,Alice Smith,test@gmail.com,NGA,yesterday,$150.00,"[""Keto""]"
REG-1107,  ,test@gmail.com,United States,15/03/2026,$150.00,[Halal]
REG-1108,Dr. Sarah-Jane O'Connor,JOHN@DOE.COM,u.k., ,"150,00 USD",N/A
REG-1109,Alice Smith,bob@marley.org ,Canada,2025-12-31,150 USD,[Halal]
REG-1110, John Doe ,bob@marley.org ,Nigeria,2025-12-31,"150,00 USD","['Gluten-Free', 'Dairy-Free']"
REG-1111,Alice Smith,,canada ,2026-03-15,$ 150,"['Gluten-Free', 'Dairy-Free']"
REG-1111,Null,JOHN@DOE.COM,Germany,03-15-2026,N/A,"[""Keto""]"
REG-1113,Alice Smith,jane.doe@,,yesterday,N/A,None
REG-1114, John Doe ,bob@marley.org ,CA,2026/03/15,150 USD,"[Vegetarian,Nut-Free]"
REG-1115,Null,invalid_email.com,,2025-12-31,FREE,"[""Keto""]"
REG-1116,Emma Watson,user@domain..com,united states, ,FREE,"no nuts, please"
REG-1117,Michael ,JOHN@DOE.COM,London,15/03/2026,£120,[Vegan]
REG-1118,Michael ,user@domain..com,DE,2025-12-31,€140.50,"[Vegetarian,Nut-Free]"
REG-1119,ERROR,test@gmail.com,USA,15/03/2026,150 USD,"[Vegetarian,Nut-Free]"
REG-1120,Emma Watson,invalid_email.com,USA,2026-13-45,$150.00,"no nuts, please"
REG-1121,Emma Watson,invalid_email.com,NGA,2026-13-45,FREE,"no nuts, please"
REG-1122,Alice Smith,test@gmail.com,U.S.A.,03-15-2026,0,[]
REG-1123,Michael ,JOHN@DOE.COM,Canada,"Mar 15, 2026",€140.50,"[""Keto""]"
REG-1124, John Doe ,test@gmail.com,u.k.,2026/03/15,-50,"no nuts, please"
REG-1125,bOb mArLeY,user@domain..com,Nigeria,2026-03-15,$150.00,"['Gluten-Free', 'Dairy-Free']"
REG-1126,bOb mArLeY,,USA,03-15-2026,$ 150,N/A
REG-1127,Null,invalid_email.com,Canada,2026.03.15,0,[Vegan]
REG-1128,Michael ,alice smith@company.com,United Kingdom,2026-03-15,0,"[""Keto""]"
REG-1129,Michael ,alice smith@company.com,united states,yesterday,150 USD,"['Gluten-Free', 'Dairy-Free']"
REG-1130,bOb mArLeY,user@domain..com,United States, ,€140.50,None
REG-1131,Michael ,jane.doe@,DE,2026.03.15,£120,"no nuts, please"
REG-1132,Alice Smith,bob@marley.org ,Canada,2026.03.15,$ 150,"no nuts, please"
REG-1133,Dr. Sarah-Jane O'Connor,test@gmail.com,,03-15-2026,FREE,"[Vegetarian,Nut-Free]"
REG-1134,jane_doe,test@gmail.com,united states,"Mar 15, 2026",150 USD,"['Gluten-Free', 'Dairy-Free']"
REG-1135,Emma Watson,jane.doe@,lagos,03-15-2026,FREE,"[Vegetarian,Nut-Free]"
REG-1136,ERROR,jane.doe@,united states,yesterday,150 USD,[]
REG-1137,Null,user@domain..com,NGA,2025-12-31,150 USD,"[Vegetarian,Nut-Free]"
REG-1138,Dr. Sarah-Jane O'Connor,user@domain..com,CA,2025-12-31,150 USD,[]
REG-1139,bOb mArLeY,jane.doe@,lagos,"Mar 15, 2026",€140.50,[]
REG-1140,Emma Watson,invalid_email.com,united states,yesterday,£120,"no nuts, please"
REG-1141,Michael ,user@domain..com,DE,"Mar 15, 2026",150 USD,None
REG-1142,ERROR,,Canada,15/03/2026,150.00,"[Vegetarian,Nut-Free]"
REG-1143,Michael ,user@domain..com,Canada,2025-12-31,-50,"['Gluten-Free', 'Dairy-Free']"
REG-1144, John Doe ,test@gmail.com,United Kingdom,2026.03.15,FREE,[]
REG-1145, John Doe ,user@domain..com,us,2026/03/15,$150.00,"no nuts, please"
REG-1146,ERROR,invalid_email.com,USA, ,"150,00 USD",[Vegan]
REG-1147,ERROR,jane.doe@,united states,yesterday,$ 150,"[""Keto""]"
REG-1148,bOb mArLeY,test@gmail.com,Germany,2026-03-15,N/A,None
REG-1149,ERROR,user@domain..com,united states,"Mar 15, 2026",£120,[Halal]
